municipality,ever_treated,treatment,year,gdvote,trarrprop,logdist
19,FALSE,0,2015,3.8461539894342422,0,5.876250267028809
19,FALSE,0,2016,3.2786883413791656,0,5.876250267028809
20,FALSE,0,2012,2.9326962307095528,0,5.658820152282715
20,FALSE,0,2013,3.7386413663625717,0,5.658820152282715
20,FALSE,0,2015,2.721429243683815,0,5.658820152282715
20,FALSE,0,2016,4.288214817643166,0,5.658820152282715
21,FALSE,0,2012,9.611261636018753,0,5.3471550941467285
21,FALSE,0,2013,9.291709959506989,0,5.3471550941467285
21,FALSE,0,2015,7.226261496543884,0,5.3471550941467285
21,FALSE,0,2016,8.229786902666092,0,5.3471550941467285
22,FALSE,0,2012,5.1236748695373535,0,5.951891899108887
22,FALSE,0,2013,7.321428507566452,0,5.951891899108887
22,FALSE,0,2015,5.688073486089706,0,5.951891899108887
22,FALSE,0,2016,7.824427634477615,0,5.951891899108887
23,FALSE,0,2012,10.039369761943817,0,5.3268561363220215
23,FALSE,0,2013,9.902091324329376,0,5.3268561363220215
23,FALSE,0,2015,8.684446662664413,0,5.3268561363220215
23,FALSE,0,2016,9.561248123645782,0,5.3268561363220215
24,FALSE,0,2012,6.100726872682571,0,6.137316703796387
24,FALSE,0,2013,5.526868626475334,0,6.137316703796387
24,FALSE,0,2015,4.752182960510254,0,6.137316703796387
24,FALSE,0,2016,6.749430298805237,0,6.137316703796387
25,FALSE,0,2012,2.5844402611255646,0,5.522979736328125
25,FALSE,0,2013,3.332914784550667,0,5.522979736328125
25,FALSE,0,2015,2.7579424902796745,0,5.522979736328125
25,FALSE,0,2016,3.7224333733320236,0,5.522979736328125
26,FALSE,0,2012,6.505190581083298,0,4.922459602355957
26,FALSE,0,2013,5.390804633498192,0,4.922459602355957
26,FALSE,0,2015,6.156284362077713,0,4.922459602355957
26,FALSE,0,2016,5.953177437186241,0,4.922459602355957
27,FALSE,0,2012,10.516997426748276,0,5.140200614929199
27,FALSE,0,2013,6.858951598405838,0,5.140200614929199
27,FALSE,0,2015,6.983135640621185,0,5.140200614929199
27,FALSE,0,2016,7.894393056631088,0,5.140200614929199
28,FALSE,0,2012,2.7010804042220116,0,5.464848041534424
28,FALSE,0,2013,2.332102321088314,0,5.464848041534424
28,FALSE,0,2015,2.6831287890672684,0,5.464848041534424
28,FALSE,0,2016,3.8636546581983566,0,5.464848041534424
29,FALSE,0,2012,6.877323240041733,0,5.1157755851745605
29,FALSE,0,2013,4.638715460896492,0,5.1157755851745605
29,FALSE,0,2015,3.5676810890436172,0,5.1157755851745605
29,FALSE,0,2016,5.187638103961945,0,5.1157755851745605
30,FALSE,0,2012,9.221311658620834,0,6.165711879730225
30,FALSE,0,2013,6.4467765390872955,0,6.165711879730225
30,FALSE,0,2015,3.951367735862732,0,6.165711879730225
30,FALSE,0,2016,5.100182071328163,0,6.165711879730225
31,FALSE,0,2012,2.390766702592373,0,4.03282356262207
31,FALSE,0,2013,2.9247453436255455,0,4.03282356262207
31,FALSE,0,2015,2.6579827070236206,0,4.03282356262207
31,FALSE,0,2016,2.883588522672653,0,4.03282356262207
32,FALSE,0,2012,7.787682116031647,0,5.551407814025879
32,FALSE,0,2013,7.927952706813812,0,5.551407814025879
32,FALSE,0,2015,6.546340137720108,0,5.551407814025879
32,FALSE,0,2016,7.956216484308243,0,5.551407814025879
37,FALSE,0,2012,4.301075264811516,0,4.955827236175537
37,FALSE,0,2013,4.539006948471069,0,4.955827236175537
37,FALSE,0,2015,3.17460335791111,0,4.955827236175537
37,FALSE,0,2016,4.769475385546684,0,4.955827236175537
38,FALSE,0,2012,5.8055151253938675,0,5.1566386222839355
38,FALSE,0,2013,4.685099795460701,0,5.1566386222839355
38,FALSE,0,2015,3.8304809480905533,0,5.1566386222839355
38,FALSE,0,2016,4.56397719681263,0,5.1566386222839355
39,FALSE,0,2012,7.323029637336731,0,6.235037803649902
39,FALSE,0,2013,6.6124387085437775,0,6.235037803649902
39,FALSE,0,2015,5.743391811847687,0,6.235037803649902
39,FALSE,0,2016,7.659566402435303,0,6.235037803649902
33,TRUE,0,2012,3.864142671227455,0,2.805781841278076
33,TRUE,0,2013,3.730747476220131,0,2.805781841278076
33,TRUE,0,2015,3.838338330388069,0,2.805781841278076
